year(Date),FieldOfStudyId,Gender,Authorships
1971.0,33923547,1,10535
1968.0,17744445,0,1567
2004.0,144133560,0,14599
1947.0,33923547,1,852
1905.0,41008148,1,606
1945.0,142362112,1,2795
1964.0,41008148,0,821
1991.0,138885662,0,2646
2004.0,162324750,0,10752
1878.0,142362112,1,740
1893.0,142362112,1,1083
2017.0,142362112,0,15607
1954.0,95457728,0,607
1956.0,138885662,1,3301
1828.0,142362112,1,255
1972.0,144133560,0,484
1964.0,144024400,0,577
1963.0,33923547,0,357
1850.0,127313418,1,60
1943.0,142362112,0,560
1860.0,95457728,1,292
1922.0,71924100,0,499
1840.0,142362112,0,43
1991.0,15744967,0,20528
1980.0,86803240,1,41715
2005.0,144024400,1,29083
1955.0,192562407,1,10546
1919.0,185592680,0,176
1925.0,142362112,0,483
1952.0,39432304,1,1911
1965.0,127413603,1,7494
1963.0,15744967,1,6600
1901.0,121332964,1,381
1948.0,144133560,1,839
1899.0,185592680,1,800
1844.0,15744967,1,36
1877.0,95457728,1,299
2020.0,86803240,0,169610
1934.0,138885662,1,1712
1974.0,121332964,1,13573
2016.0,71924100,0,512941
1986.0,121332964,0,4223
1975.0,127413603,0,2714
1921.0,17744445,1,928
1978.0,95457728,0,2932
1897.0,71924100,1,1741
1990.0,205649164,0,4813
2014.0,127313418,0,28285
1899.0,95457728,1,703
2018.0,17744445,1,62361
1959.0,144024400,1,2246
1927.0,17744445,1,1339
1863.0,71924100,1,438
1899.0,127413603,0,93
1939.0,17744445,1,2259
1908.0,127413603,1,709
1878.0,142362112,0,108
1919.0,15744967,1,479
1905.0,127413603,1,622
1952.0,162324750,0,124
1873.0,95457728,1,282
1949.0,41008148,0,369
1804.0,127413603,1,21
1908.0,39432304,1,318
1936.0,95457728,0,428
1888.0,138885662,1,377
1815.0,71924100,1,47
1907.0,41008148,1,661
1949.0,41008148,1,3480
2010.0,33923547,1,114489
2012.0,185592680,1,261078
1953.0,185592680,1,12237
1961.0,121332964,1,5486
1991.0,185592680,0,53197
