year(Date),FieldOfStudyId,Gender,Authorships
1949.0,15744967,0,961
1997.0,71924100,1,440126
1986.0,138885662,1,13749
1995.0,162324750,0,4849
2019.0,142362112,0,12262
1967.0,144133560,1,3011
1941.0,95457728,0,420
1954.0,15744967,0,1226
2018.0,138885662,1,26852
1973.0,33923547,0,1260
1916.0,71924100,1,3313
1947.0,127313418,1,1585
1884.0,71924100,1,802
1929.0,144133560,0,67
1956.0,138885662,0,394
1945.0,127313418,1,1011
1853.0,121332964,1,72
1913.0,86803240,1,1327
1919.0,138885662,0,64
1918.0,138885662,1,714
2012.0,71924100,0,876854
2007.0,185592680,0,227135
2000.0,41008148,0,40380
1947.0,127413603,1,5648
1976.0,17744445,0,4231
1968.0,142362112,0,2604
1892.0,144024400,1,116
1928.0,95457728,0,334
1940.0,162324750,1,718
1894.0,41008148,1,246
1971.0,138885662,0,1110
1882.0,41008148,1,131
1953.0,17744445,0,511
1842.0,142362112,1,377
2018.0,121332964,1,422415
1824.0,127313418,1,18
1894.0,162324750,1,88
2015.0,86803240,1,902659
2002.0,185592680,1,468216
2004.0,144133560,0,18342
2009.0,127313418,1,98956
2004.0,162324750,0,12920
2007.0,33923547,0,37379
2004.0,205649164,0,21307
1971.0,33923547,1,12661
1986.0,144024400,1,13279
1981.0,95457728,0,3455
1974.0,142362112,1,14314
1945.0,142362112,1,3219
1961.0,192562407,1,21329
1991.0,138885662,0,2921
1893.0,142362112,1,1204
1956.0,138885662,1,3697
1988.0,95457728,1,13661
1903.0,144024400,1,197
1972.0,144133560,0,533
1964.0,41008148,0,874
2017.0,142362112,0,19639
1896.0,127413603,1,295
1878.0,142362112,1,828
1828.0,142362112,1,306
1968.0,17744445,0,1635
1941.0,71924100,1,9981
1850.0,127313418,1,67
1947.0,33923547,1,957
1954.0,95457728,0,649
1943.0,142362112,0,600
1860.0,95457728,1,330
1905.0,41008148,1,726
1910.0,39432304,1,414
1847.0,86803240,0,1
1963.0,33923547,0,376
1955.0,192562407,1,14025
1925.0,142362112,0,512
1991.0,15744967,0,27389
1980.0,86803240,1,68937
2005.0,144024400,1,36083
1965.0,127413603,1,9939
1952.0,39432304,1,2298
1963.0,15744967,1,8629
1948.0,144133560,1,1003
1945.0,138885662,0,132
1899.0,185592680,1,944
1877.0,95457728,1,341
1903.0,121332964,0,18
1917.0,71924100,0,328
1901.0,121332964,1,408
1913.0,162324750,1,190
1953.0,39432304,0,167
1829.0,205649164,1,107
2020.0,86803240,0,356509
1975.0,127413603,0,2916
2014.0,127313418,0,42828
1986.0,121332964,0,4614
1863.0,71924100,1,459
1974.0,121332964,1,18676
2018.0,17744445,1,87188
1959.0,144024400,1,2563
2016.0,71924100,0,1184731
1990.0,205649164,0,5799
1978.0,95457728,0,3261
1949.0,41008148,0,388
1934.0,138885662,1,1899
1921.0,17744445,1,1049
1878.0,142362112,0,120
1936.0,95457728,0,458
1927.0,17744445,1,1509
1939.0,17744445,1,2561
1813.0,142362112,1,204
1905.0,127413603,1,858
1908.0,39432304,1,408
1908.0,127413603,1,930
1899.0,95457728,1,809
1873.0,95457728,1,338
1907.0,41008148,1,788
1888.0,138885662,1,436
1897.0,71924100,1,1841
1848.0,185592680,1,104
1919.0,15744967,1,501
